"region","id","d13C","d15N","d34S","FA_C16_0","FA_C16_1","FA_C18_0","FA_C18_1","FA_C18_2n6","FA_C18_3n3","FA_C18_4n3","FA_C20_1","FA_C20_4n3","FA_C20_5n3","FA_C22_1","FA_C22_5n3","FA_C22_6n3","FA_C24_1"
"CA","CA-1",-1.67780842926298,-1.31196836485661,0.751453612923824,-1.06179370353496,-0.600203687845316,-0.513873608230319,-0.988007162894705,0.137782867369069,1.0771886949361,-0.107949621697514,1.22058311980341,0.388664790209904,-1.09219945518018,1.35695686450349,-1.25085635391654,-0.596995916405241,0.79503176325284
"CA","CA-10",0.755308529795073,-1.64893725049188,0.141613777553398,-0.548669612466908,-0.635250389926372,0.436232225950004,-1.02076397770153,-0.119644076707448,0.669314341563943,0.0414890154707355,0.91135738935942,-0.322463944583819,-1.26880372555231,0.797892215389367,-0.882008567015365,-0.191683351303262,0.924626332754571
"CA","CA-11",-2.06397401902129,-0.995455900649963,-0.158228416278015,-1.58707670499042,0.0532787554282701,-1.06009753623042,-0.219203634655254,0.602661434317672,1.31937643911896,-0.0765829368580545,1.46970026754587,0.180831630958108,-1.34809814725401,1.34254408481605,-0.919229921873393,-1.10271721558526,0.622800168530936
"CA","CA-12",0.313954637082339,-0.995455900649963,0.346125104822994,-1.01408041607334,-0.803923115723252,-0.211765084760094,-0.981293896792853,0.0928522812673792,0.556121113971205,0.329711172021168,1.33068897193316,0.282626104621152,-0.839642518897911,0.683109509569465,-1.0910875051384,-0.430024930234243,-0.340365391448849
"CA","CA-13",-0.947671612330747,-1.12216973579938,-0.00707143157996491,-1.43749421739376,-0.627410763815186,-0.434657293667232,-0.762263204692079,0.305200577432091,0.661636957073107,0.237639050110942,1.58572042075445,0.34652416001493,-0.954422317543063,0.812008505296067,-1.09617480582632,-0.656839117661184,-0.685942147598293
"CA","CA-14",-0.324034973684556,-1.04734823313968,0.887697259124527,-0.562136785248125,-0.319173248639153,-0.301357280964148,-0.67675764400766,-0.0632946033897062,0.779247053567127,-0.397024516339127,0.637452153472241,-0.0538642692482379,-0.952135084711283,0.728401949888613,-0.72071479575791,0.0145403035982649,1.14132958974277
"CA","CA-15",-0.517082448708512,-0.814436136150822,0.411672020193857,-1.16323020052158,-0.764206724644366,-0.300567801006466,-0.870109798410405,0.0586346427720476,0.549428196392481,0.23584444203802,1.29565696786807,0.256850698615551,-0.809551756592934,0.690376226358613,-0.988457594987641,-0.325606712749768,-0.400918763150395
"CA","CA-16",-0.976736380875257,-0.678671312776332,-0.0217748415920961,-1.0172192272679,-0.713784136397118,-0.283974818304008,-0.895935267331651,0.0696581666859162,0.550359526517962,0.240413517140374,1.26400201050901,0.429841392892599,-0.72744209801311,0.645441092416732,-1.00160201641708,-0.358513566038622,-0.612235736898659
"CA","CA-17",0.339789986899645,-0.463257793022305,1.41591290502015,-0.900549579288976,-0.689370320906476,-0.159844859436617,-0.918328267250061,-0.40089114948533,-0.0375075357890108,0.101085568345599,0.837039238509801,-0.127550782793821,-0.584162825665789,0.712835257527209,-1.0732433781074,0.088993083908105,0.15310903703382
"CA","CA-18",0.387154794898166,-0.486790362407246,1.63757501136941,-0.280639410387495,-1.42788737687622,0.324018811166521,-1.93384644672155,-0.590349023255778,0.0140622450783323,-0.112566429483488,0.490312308582863,0.859502039351784,-0.692508691761712,0.551757360308205,-1.03747513442696,0.870951709503514,1.2318690016958
"CA","CA-19",-1.57094942667383,-0.923047994850269,0.143957903580895,-1.36188259934781,-0.0970160678679221,-0.81589628532647,-0.419003399775479,0.468869611228718,1.21506811467225,0.111659460558548,1.29673734276151,0.251933888650953,-1.20312925122897,1.16879678812453,-0.847834303141531,-0.847492655476687,0.548921360619148
"CA","CA-2",0.501260923257997,-1.43714412602778,0.606712139840163,-1.71518302954618,-0.300961145920383,-0.785749204736643,-0.528170746865027,0.88061899052342,0.595470189001863,0.689737764472708,1.19787514127174,0.472976886611059,-0.746890947800409,1.6430103593171,-0.720816929010682,-0.946158639936571,0.418416076180541
"CA","CA-20",0.486190302531189,-0.997266098294834,0.121353585009241,-0.767021653226709,-0.679090020199664,0.322083605465808,-1.08014383118929,0.116720918391553,0.482415111181509,1.34919456924529,0.690765472706291,0.40419344004669,-0.622336185691247,1.14324480327437,-0.730221744131701,-0.371345340804903,0.322166602524498
"CA","CA-21",-1.07684836141739,-0.687722301001405,0.747608618470063,-1.53222046715261,-1.14041759713856,-0.5323435737547,-1.52258203424434,0.357293470066658,1.44532358908787,-0.132142039351184,1.71646546081758,1.1422156610745,-1.52965503004686,1.5344728464871,-1.26892757162289,-0.631946398447749,1.18012921124411
"CA","CA-22",1.02873264869516,-0.899515425465329,1.49173072844315,0.656091694067086,-1.77421438117687,1.89645138361055,-2.61938902296124,-0.617900878963881,1.59014138972503,0.914583888883088,-0.659809603569201,1.1544508768665,-0.416386702403404,-0.649760026678361,-1.0009817734239,2.44527457675464,1.24976617289363
"CA","CA-23",-2.05428576283979,-0.872362460790468,0.439460636032146,-0.833705262909309,-0.467686757468733,-0.621589633065362,-0.332002281507619,0.668520057527336,1.64706257523597,1.76177742195179,0.860605438741608,1.83550404199733,-0.343679656120108,0.3061179822802,-0.998035672382103,-0.630443428321672,-0.795554955107508
"CA","CA-24",-0.190911157264715,-0.85607068198555,0.262339039008659,-1.41645824405828,-0.39122377490306,-0.855235356960081,-0.675932935956725,0.128125208430481,0.573642703135891,0.584702967991754,1.15078139776209,0.292909721451265,-0.839899443056625,1.62690504267533,-0.672751931500615,-0.820540981431218,0.608308968269004
"CA","CA-25",-2.55053977391433,-1.16380428163411,-0.644017586821745,-1.5205058590373,-0.0951358241373721,-1.35527575565089,-0.33732523311336,0.455818067372478,1.23577694591312,-0.137780293478815,1.31008686619719,0.608153227890728,-1.06838300907426,1.53269442066746,-1.25423174325957,-1.00445542733733,0.748967484193877
"CA","CA-26",-0.0961815412677828,-0.651518348101468,1.82607466972814,-1.21637509763649,-0.795858188800743,-0.773277014094395,-0.973125520892154,0.175733250166057,0.852011638967964,-0.175462813550242,1.31204946645332,0.253593188847444,-0.691884243023125,0.687310965376994,-0.935748157410171,-0.162015650731582,-0.358315575749023
